county_code,year,commodity_name,yield_amount,predicted_yield,residual,total_precipitation,total_temp_max,total_temp_min,total_snow_depth,total_snowfall,observation_count
187,2022, Corn,11.1,152.64585219410833,-141.54585219410833,3577,0,0,0,0,28
409,2018, Corn,17.6,151.8923870686058,-134.29238706860582,3748,0,0,0,0,174
105,2024, Corn,38.9,161.67180570773746,-122.77180570773746,84,0,0,0,0,21
105,2016, Corn,40.2,159.13584023827488,-118.93584023827488,8271,0,0,0,119,295
109,2011, Corn,45.5,163.84742903991886,-118.34742903991886,13363,0,0,8443,1661,662
187,2020, Corn,19.2,122.8647766649424,-103.6647766649424,5648,0,0,0,0,60
187,2013, Corn,32,135.38279972087642,-103.38279972087642,15505,0,0,178,178,380
101,2024, Corn,32.5,134.6140222512553,-102.1140222512553,13776,0,0,0,0,386
153,2012, Corn,61.3,161.67180570773746,-100.37180570773747,343,0,0,0,0,18
189,2012, Corn,17.2,116.80294713202014,-99.60294713202013,16482,0,0,259,282,570
101,2021, Corn,64.2,162.56867263616363,-98.36867263616362,2049,0,0,0,0,67
207,2011, Corn,26.6,124.68323102760695,-98.08323102760696,6226,0,0,0,152,214
171,2016, Corn,15.4,110.09410068050218,-94.69410068050217,12151,0,0,1066,486,350
187,2018, Corn,236.8,143.2213619517078,93.57863804829222,3299,0,0,0,0,92
103,2024, Corn,69.1,161.67180570773746,-92.57180570773747,574,0,0,0,0,28
185,2024, Corn,70.3,160.8027755233873,-90.50277552338731,1128,0,0,447,275,52
159,2021, Corn,16.3,106.44911493032416,-90.14911493032416,9719,46022,2227,6245,1351,573
187,2021, Corn,53.5,142.80270110695722,-89.30270110695722,4970,0,0,0,0,49
157,2024, Corn,236.8,148.93920054688422,87.86079945311579,608,0,0,0,0,56
147,2012, Corn,74.3,161.67180570773746,-87.37180570773747,8,0,0,0,0,12
175,2010, Corn,35.4,122.56899745205405,-87.16899745205404,1478,0,0,25,140,44
239,2011, Corn,56.2,143.2213619517078,-87.02136195170779,3683,0,0,0,0,104
187,2019, Corn,59.5,146.0779255070085,-86.5779255070085,7053,0,0,0,0,75
125,2021, Corn,69.2,155.63216820994393,-86.43216820994392,3314,0,0,51,51,221
227,2012, Corn,63.4,149.719717081918,-86.31971708191799,11798,0,0,0,0,280
133,2012, Corn,74.1,159.70899386073106,-85.60899386073106,162,0,0,114,139,5
167,2012, Corn,49.6,134.69984877073662,-85.09984877073663,10474,0,0,0,0,366
293,2018, Corn,31.9,116.29044226997884,-84.39044226997885,35402,0,0,0,0,1066
117,2012, Corn,38,121.47384746918368,-83.47384746918368,22165,0,0,1082,488,662
195,2024, Corn,60.5,143.2213619517078,-82.72136195170779,3086,0,0,0,0,93
171,2014, Corn,220.2,138.5548508338835,81.64514916611648,28942,0,0,5143,2261,959
175,2017, Corn,236.8,155.63216820994393,81.16783179005608,3342,0,0,50,36,245
207,2022, Corn,71.6,152.64585219410833,-81.04585219410833,3106,0,0,0,0,18
135,2022, Corn,62.6,143.2213619517078,-80.6213619517078,3215,0,0,0,0,146
277,2024, Corn,76.9,157.2354804774828,-80.3354804774828,1898,0,0,0,0,37
127,2012, Corn,26,106.27696526899314,-80.27696526899314,25950,0,0,292,213,942
187,2023, Corn,42.6,122.8647766649424,-80.26477666494239,5663,0,0,0,0,52
145,2018, Corn,55.9,135.39450046242303,-79.49450046242302,41664,0,0,1281,835,1307
155,2012, Corn,84.4,163.07052087376925,-78.67052087376925,8948,0,0,0,0,183
129,2024, Corn,34.2,112.83813130089092,-78.63813130089092,0,1594,-2319,0,0,30
129,2012, Corn,46.4,124.55024521310008,-78.15024521310008,14312,0,0,192,167,528
251,2010, Corn,29.8,107.52698856797483,-77.72698856797483,34148,0,0,1092,854,1252
121,2023, Corn,221.7,144.9733152985477,76.72668470145229,8367,0,0,84,92,365
103,2023, Corn,215,138.45369990992543,76.54630009007457,34971,0,0,1016,494,1302
197,2022, Corn,223.1,147.07196096120083,76.02803903879916,9445,0,0,0,0,387
157,2023, Corn,68.3,143.89140866856394,-75.59140866856394,48675,0,0,3454,1105,1737
135,2012, Corn,3.1,78.13250635951735,-75.03250635951736,18112,0,0,356,576,897
107,2010, Corn,86.8,161.67180570773746,-74.87180570773747,198,0,0,0,0,8
175,2024, Corn,236,161.67180570773746,74.32819429226254,0,0,0,0,0,1
163,2022, Corn,38.4,112.38151282932222,-73.98151282932221,11010,0,0,153,898,306
